YYYY;MM;DD;qobs;ckhs;qceq;qcol
2011;9;4;3.11;1;0;0
2011;9;5;12.994;1;0;0
2011;9;6;6.854;1;0;0
2011;9;7;4.779;1;0;0
2011;9;8;4.651;1;0;0
2011;9;9;4.663;1;0;0
2011;9;10;4.167;1;0;0
2011;9;11;3.771;1;0;0
2011;9;12;6.358;1;0;0
2011;9;13;4.456;1;0;0
2011;9;14;4.563;1;0;0
2011;9;15;3.971;1;0;0
2011;9;16;3.163;1;0;0
2011;9;17;4.925;1;0;0
2011;9;18;11.36;1;0;0
2011;9;19;12.465;1;0;0
2011;9;20;8.9;1;0;0
2011;9;21;7.524;1;0;0
2011;9;22;6.212;1;0;0
2011;9;23;4.988;1;0;0
2011;9;24;4.253;1;0;0
2011;9;25;3.715;1;0;0
2011;9;26;3.312;1;0;0
2011;9;27;3.017;1;0;0
2011;9;28;2.753;1;0;0
2011;9;29;2.544;1;0;0
2011;9;30;2.377;1;0;0
2011;10;1;2.218;1;0;0
2011;10;2;2.107;1;0;0
2011;10;3;1.985;1;0;0
2011;10;4;1.875;1;0;0
2011;10;5;1.764;1;0;0
2011;10;6;1.723;1;0;0
2011;10;7;5.614;1;0;0
2011;10;8;8.088;1;0;0
2011;10;9;8.173;1;0;0
2011;10;10;35.108;1;0;0
2011;10;11;19.714;1;0;0
2011;10;12;13.359;1;0;0
2011;10;13;12.242;1;0;0
2011;10;14;9.198;1;0;0
2011;10;15;6.908;1;0;0
2011;10;16;5.629;1;0;0
2011;10;17;4.57;1;0;0
2011;10;18;3.744;1;0;0
2011;10;19;3.517;1;0;0
2011;10;20;3.517;1;0;0
2011;10;21;3.032;1;0;0
2011;10;22;2.671;1;0;0
2011;10;23;2.446;1;0;0
2011;10;24;2.188;1;0;0
2011;10;25;2.056;1;0;0
2011;10;26;2.13;1;0;0
2011;10;27;2.017;1;0;0
2011;10;28;1.763;1;0;0
2011;10;29;1.65;1;0;0
2011;10;30;1.555;1;0;0
2011;10;31;1.503;1;0;0
2011;11;1;1.413;1;0;0
2011;11;2;1.392;1;0;0
2011;11;3;1.356;1;0;0
2011;11;4;1.288;1;0;0
2011;11;5;1.371;1;0;0
2011;11;6;1.361;1;0;0
2011;11;7;1.282;1;0;0
2011;11;8;1.241;1;0;0
2011;11;9;1.124;1;0;0
2011;11;10;1.12;1;0;0
2011;11;11;1.109;1;0;0
2011;11;12;1.029;1;0;0
2011;11;13;0.992;1;0;0
2011;11;14;0.924;1;0;0
2011;11;15;0.799;1;0;0
2011;11;16;0.781;1;0;0
2011;11;17;0.766;1;0;0
2011;11;18;0.758;1;0;0
2011;11;19;0.701;1;0;0
2011;11;20;0.685;1;0;0
2011;11;21;0.679;1;0;0
2011;11;22;0.677;1;0;0
2011;11;23;0.671;1;0;0
2011;11;24;0.624;1;0;0
2011;11;25;0.602;1;0;0
2011;11;26;0.593;1;0;0
2011;11;27;0.589;1;0;0
2011;11;28;0.59;1;0;0
2011;11;29;0.576;1;0;0
2011;11;30;0.586;1;0;0
2011;12;1;0.568;1;0;0
2011;12;2;0.532;1;0;0
2011;12;3;0.668;1;0;0
2011;12;4;0.871;1;0;0
2011;12;5;1.948;1;0;0
2011;12;6;1.287;1;0;0
2011;12;7;2.19;1;0;0
2011;12;8;3.193;1;0;0
2011;12;9;1.679;1;0;0
2011;12;10;2.471;1;0;0
2011;12;11;3.792;1;0;0
2011;12;12;2.807;1;0;0
2011;12;13;2.232;1;0;0
2011;12;14;2.398;1;0;0
2011;12;15;2.712;1;0;0
2011;12;16;5.206;1;0;0
2011;12;17;5.444;1;0;0
2011;12;18;3.377;1;0;0
2011;12;19;2.601;1;0;0
2011;12;20;2.015;1;0;0
2011;12;21;1.782;1;0;0
2011;12;22;2.057;1;0;0
2011;12;23;4.993;1;0;0
2011;12;24;3.882;1;0;0
2011;12;25;2.745;1;0;0
2011;12;26;2.171;1;0;0
2011;12;27;2.105;1;0;0
2011;12;28;2.077;1;0;0
2011;12;29;2.035;1;0;0
2011;12;30;2.034;1;0;0
2011;12;31;3.624;1;0;0
2012;1;1;17.458;1;0;0
2012;1;2;9.333;1;0;0
2012;1;3;6.84;1;0;0
2012;1;4;5.611;1;0;0
2012;1;5;6.389;1;0;0
2012;1;6;5.759;1;0;0
2012;1;7;4.72;1;0;0
2012;1;8;4.358;1;0;0
2012;1;9;3.751;1;0;0
2012;1;10;3.295;1;0;0
2012;1;11;2.983;1;0;0
2012;1;12;2.846;1;0;0
2012;1;13;2.825;1;0;0
2012;1;14;2.478;1;0;0
2012;1;15;2.137;1;0;0
2012;1;16;2.041;1;0;0
