ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
209;3.669;0.71;1.175;2.057;0.572;0.505;198.944;0.981;10.581;2.556;1.643;3.333;6.316;0
210;5.036;1.085;1.318;2.966;0.456;0.357;210.543;0.576;16.34;8.886;1.555;61.542;7.377;0
211;4.421;0.864;1.357;2.333;0.643;0.599;225.306;1.137;11.32;0.639;1.353;4.528;9.588;0
212;2.716;0.59;1.419;1.875;0.549;0.482;193.75;0.672;7.548;4.5;1.705;4.444;4.848;0
213;2.935;0.709;0.976;1.901;0.647;0.628;176.222;0.653;7.128;0.472;1.545;13.5;9.72;0
214;2.767;0.581;1.503;1.475;0.701;0.718;190.444;0.993;6.492;0.417;3;0.278;3.333;0
215;2.956;0.639;1.524;1.672;0.603;0.559;187.389;0.857;7.865;3.194;1.575;2.028;4.562;0
216;3.173;0.703;1.195;1.812;0.622;0.576;185.583;0.992;8.495;0.5;2.25;0.333;2;0
217;6.223;1.344;1.487;2.01;0.585;0.531;214.472;1.636;16.758;3.083;1.461;4.861;10.294;0
218;3.042;0.688;1.057;1.984;0.659;0.612;195.444;1.202;8.163;0;0;0;0;0
219;2.327;0.597;1.467;1.08;0.672;0.641;178.778;1.026;5.721;2.25;1.328;0;0;0
220;1.701;0.484;1.491;1.443;0.567;0.512;167.056;0.541;4.719;5.944;1.518;0.111;4;0
221;1.758;0.477;1.146;1.123;0.68;0.648;174.306;0.796;4.065;2.611;1.469;0;0;0
222;1.759;0.431;1.59;3.024;0.431;0.345;175.583;0.196;6.295;12.25;1.75;69.167;6.418;0
223;1.221;0.31;1.667;2.585;0.46;0.381;173.917;0.096;4.167;9.472;1.714;59.639;7.181;0.014
224;1.682;0.449;1.519;1.292;0.649;0.612;175.167;0.654;4.038;3.722;1.489;0;0;0
225;2.404;0.59;1.258;1.556;0.69;0.658;188.556;1.065;5.819;0.194;1.167;0;0;0
