ID;start_ID;end_ID
640;RL35052211;RL35053652
641;RL35053053;RL35053945
642;RL35053053;RL35056512
643;RL35053053;RL35114306
644;RL35054415;RL35055803
645;RL35055272;RL35056532
646;RL35114409;RL35115272
647;RL35114409;RL35116674
648;RL35114409;RL35117409
649;RL35116533;RL35117894
650;RL35115948;RL35117190
651;RL35120665;RL35119802
652;RL35120665;RL35118434
653;RL35120665;RL35118888
654;RL35120379;RL35118950
655;RL35120360;RL35118983
656;RL35121424;RL35120890
657;RL35121424;RL35120016
658;RL35121424;RL35119459
659;RL35121424;RL35121377
660;RL35121424;RL35121155
661;RL35121626;RL35121452
662;RL35121597;RL35121004
663;RL35120806;RL35120483
664;RL35120806;RL35120666
665;RL35121210;RL35120782
666;RL35121210;RL35120141
667;RL35119790;RL35119846
668;RL35119790;RL35119823
669;RL35119790;RL35119933
670;RL35119790;RL35119027
671;RL35119790;RL35119312
672;RL35119597;RL35119782
673;RL35120517;RL35120383
674;RL35117045;RL35118356
675;RL35050733;RL35051939
676;RL35050733;RL35053461
677;RL35050733;RL35056523
678;RL35050733;RL35114557
679;RL35050733;RL35115926
680;RL35050733;RL35116526
681;RL35050733;RL35117822
682;RL35050834;RL35052400
683;RL35050834;RL35052810
684;RL35050834;RL35055016
685;RL35050834;RL35054866
686;RL35050834;RL35056878
687;RL35051199;RL35052513
688;RL35053098;RL35114134
689;RL35053098;RL35114682
690;RL35053098;RL35115289
691;RL35053098;RL35116192
692;RL35053098;RL35053975
693;RL35053098;RL35056097
694;RL35053098;RL35056705
695;RL35055088;RL35056116
696;RL35057122;RL35114137
697;RL35055971;RL35114081
698;RL35114971;RL35115991
699;RL35115141;RL35115974
700;RL35115570;RL35116600
701;RL35115570;RL35116932
702;RL35115570;RL35117040
703;RL35115570;RL35116389
704;RL35115914;RL35116396
705;RL35150968;RL35116980
706;RL35117966;RL35117113
707;RL35118839;RL35117681
708;RL35128247;RL35117485
709;RL35128247;RL35117621
710;RL35041386;RL35054775
711;RL35041386;RL35056816
712;RL35041386;RL35114271
713;RL35041386;RL35115176
