ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
551;283;0.7901;0.8092;0.8902;0.1302;2.8;0.597;0.5806;0
554;284;0.5888;0.6535;0.7802;0.024;11.6;0.3239;0.2902;0
559;285;0.4411;0.4902;0.6893;3.0634;14.5;3.1797;2.7768;0
560;286;0.4348;0.5616;0.6622;0.075;0.6;1.1103;1.1036;0
564;287;0.3806;0.5097;0.629;0.7117;6.9;1.7975;1.6812;0
565;288;0.6654;0.7459;0.8182;4.0873;5.7;4.0667;3.849;0
568;289;0.3732;0.4963;0.6281;1.2177;11.6;1.8271;1.6375;0
570;290;0.6266;0.6894;0.7931;19.7001;4.6;7.569;7.2384;0
572;291;0.484;0.5666;0.7104;0.6161;-9.3;1.5286;1.6846;0
573;292;;;;;;;;1
575;293;0.6201;0.7326;0.7891;2.8908;1.3;3.5854;3.5387;0
577;294;;;;;;;;1
579;295;0.419;0.5444;0.6538;0.7705;4.5;1.9777;1.8918;0
580;296;0.1512;0.1988;0.4012;0.4401;3.2;1.6618;1.6097;0
583;297;-0.0088;-0.2167;0.0802;0.072;0.2;0.462;0.4609;0
585;298;0.2669;0.3104;0.5197;0.0333;2.5;0.4803;0.4687;0
588;299;0.3738;0.4326;0.6331;0.3915;15;0.9704;0.844;0
589;300;0.2373;0.3451;0.499;0.1848;3.8;0.9557;0.9205;0
591;301;0.3845;0.4831;0.6435;0.2895;20;0.6907;0.5758;0
593;302;0.3895;0.4728;0.6384;0.0684;11.2;0.4464;0.4016;0
594;303;0.5328;0.6212;0.7404;0.0168;12.3;0.2146;0.1911;0
595;304;0.0909;0.196;0.3609;0.0115;9;0.1616;0.1483;0
599;305;0.2951;0.3802;0.5462;0.0217;1.9;0.4445;0.4363;0
600;306;;;;;;;;1
601;307;0.3957;0.479;0.6298;0.0122;1.3;0.3427;0.3384;0
603;308;0.4244;0.5726;0.6599;1.0706;3.3;2.7867;2.6986;0
604;309;0.4905;0.5563;0.7114;0.2758;5.8;1.5802;1.4942;0
606;310;0.4911;0.6193;0.706;0.0694;3.5;0.7219;0.6975;0
608;311;;;;;;;;1
621;312;0.7256;0.7935;0.8525;3.7845;3.1;3.9218;3.8023;0
622;313;;;;;;;;1
623;314;;;;;;;;1
624;315;0.6952;0.7499;0.8385;16.3074;-8.2;7.1885;7.8307;0
625;316;;;;;;;;1
626;317;0.3653;0.5151;0.6319;0.8635;12.7;1.7272;1.533;0
627;318;0.5412;0.6308;0.7541;8.0429;13.4;5.8769;5.1839;0
629;319;0.5607;0.6856;0.7639;20.629;8.1;13.2445;12.2553;0
631;320;0.7331;0.6745;0.8714;20.462;27.2;6.6449;5.2254;0
634;321;0.3761;0.5766;0.6606;5.2769;13.4;5.1996;4.5848;0
635;322;0.4099;0.5538;0.6789;3.6158;17.4;3.6211;3.0854;0
640;323;0.6355;0.7353;0.7978;9.1818;0.6;5.116;5.0835;0
641;324;0.691;0.7775;0.8321;3.1893;3.1;2.93;2.8409;0
644;325;0.5577;0.6357;0.7633;4.0088;17.9;3.0989;2.6289;0
645;326;0.5471;0.5901;0.7576;3.0211;21.8;2.3596;1.9367;0
