ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
284;120.867;685;673;110;531;97;15.3;156;0.813;0.48;2.76;2.19;1.58;0.79;0.89;0.4;0.12;13.55;1.2;jja;195.75;3.18;djf;312;0.587;0;0.354;0;0;0.05;3.14;2.88;0.72;0.18;0.9;0.77;0.99;0.82;0.46;0.89;0.12;0.513;0.3;0.187;0.096;0.008;pa;0;0.347;0.561;0;0;0;0;0;0;0.092;0;0;0;-13.8;0.029;287
285;101.465;894;896;60;418;88;14.4;198;0.789;0.46;2.8;2.13;1.6;0.76;0.81;0.43;0.14;11.95;1.22;jja;194.05;3.12;djf;312;0.19;0;0.773;0;0;0.009;4.07;3.64;0.74;0.25;0.84;0.64;1;0.61;0.46;0.437;0.1;0.524;0.302;0.174;0.097;0.014;pa;0;0;1;0;0;0;0;0;0;0;0;0;0;-14.1;0.01;286
286;165.906;700;694;140;720;153;27.9;211;0.521;0.48;2.8;2.21;1.6;0.79;0.91;0.4;0.12;12.9;1.22;jja;194.6;3.14;djf;312;0.42;0;0.571;0;0;0.009;3.94;3.63;0.74;0.21;0.86;0.71;1;0.93;0.44;0.864;0.12;0.589;0.248;0.163;0.098;0.009;pa;0;0;1;0;0;0;0;0;0;0;0;0;0;-14.1;0.01;287
287;149.891;521;523;113;622;104;21.8;154;0.634;0.52;2.65;2.27;1.62;0.86;1.02;0.34;0.09;13.3;1.2;jja;198;3.23;djf;242;0.613;0.002;0.332;0;0;0.045;2.89;2.59;0.72;0.21;0.91;0.74;1.87;1.15;0.44;1.005;0.14;0.626;0.214;0.16;0.091;0.006;pa;0;0.005;0.943;0;0;0;0;0.029;0;0.023;0;0;0;-14;0.02;0
290;37.465;861;871;84;436;130;10;186;0.688;0.44;2.91;2.18;1.59;0.75;0.84;0.44;0.14;12.45;1.24;jja;192.5;3.07;djf;312;0.468;0;0.522;0;0;0.01;4.09;3.92;0.75;0.13;0.87;0.82;0.98;0.54;0.46;0.684;0.09;0.584;0.259;0.157;0.057;0.018;pa;0;0;1;0;0;0;0;0;0;0;0;0;0;-14.1;0.01;0
292;87.993;512;520;128;599;134;16.4;186;0.644;0.52;2.59;2.27;1.64;0.88;1.05;0.3;0.09;12.85;1.22;jja;201.4;3.27;djf;242;0.566;0;0.407;0;0;0.026;3.55;3.26;0.75;0.2;0.92;0.76;1.88;1.05;0.43;0.756;0.13;0.632;0.216;0.152;0.091;0.006;pa;0;0;0.903;0;0;0;0;0;0;0.097;0;0;0;-13.8;0.031;0
294;118.082;1055;1065;215;1280;276;17.3;309;0.707;0.58;3.99;2.24;1.64;0.56;0.69;0.34;0.21;10.85;1.25;jja;167.55;2.8;djf;312;0.052;0.004;0.872;0;0;0.024;4.28;3.94;0.75;0.21;0.83;0.68;0.8;0.34;0.49;0.069;0.06;0.335;0.409;0.257;0.117;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;296
295;24.823;1116;1145;320;1258;342;7.5;346;0.752;0.37;3.97;2.15;1.68;0.54;0.64;0.34;0.22;10.55;1.27;jja;166.15;2.79;djf;312;0.053;0.075;0.659;0;0.031;0;3.7;3.5;0.72;0.12;0.8;0.76;0.68;0.31;0.48;0.04;0.05;0.35;0.422;0.228;0.141;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;296
296;175.724;926;850;267;1344;286;13.8;208;1.085;0.74;3.92;2.25;1.62;0.57;0.76;0.33;0.21;10.7;1.29;NA;167.1;2.8;djf;312;0.121;0.029;0.782;0;0;0.021;4.33;4.04;0.76;0.19;0.85;0.72;0.76;0.34;0.49;0.047;0.06;0.34;0.413;0.247;0.121;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;297
297;188.446;803;754;256;1348;313;18.9;11;0.82;0.96;3.87;2.26;1.62;0.58;0.83;0.32;0.19;11.15;1.27;jja;169.45;2.83;djf;312;0.152;0.005;0.819;0;0;0.014;4.62;4.28;0.78;0.22;0.86;0.7;0.86;0.35;0.49;0.057;0.06;0.357;0.429;0.214;0.133;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;300
